"Date","Price","Open","High","Low","Vol.","Change %"
"02/05/2025","378.17","387.51","388.39","375.53","57.61M","-3.58%"
"02/04/2025","392.21","382.63","394.00","381.40","57.07M","2.22%"
"02/03/2025","383.68","386.68","389.17","374.36","93.73M","-5.17%"
"01/31/2025","404.60","401.53","419.99","401.34","83.57M","1.08%"
"01/30/2025","400.28","410.78","412.50","384.41","98.09M","2.87%"
"01/29/2025","389.10","395.21","398.59","384.48","68.03M","-2.26%"
"01/28/2025","398.09","396.91","400.59","386.50","48.91M","0.24%"
"01/27/2025","397.15","394.80","406.69","389.00","58.13M","-2.32%"
"01/24/2025","406.58","414.45","418.88","405.78","56.43M","-1.41%"
"01/23/2025","412.38","416.06","420.73","408.95","50.69M","-0.66%"
"01/22/2025","415.11","416.81","428.00","414.59","60.96M","-2.11%"
"01/21/2025","424.07","432.64","433.20","406.31","87.32M","-0.57%"
"01/17/2025","426.50","421.50","439.74","419.75","94.99M","3.06%"
"01/16/2025","413.82","423.49","424.00","409.13","68.34M","-3.36%"
"01/15/2025","428.22","409.90","429.80","405.66","81.38M","8.04%"
"01/14/2025","396.36","414.34","422.64","394.54","84.57M","-1.72%"
"01/13/2025","403.31","383.21","403.79","380.07","67.58M","2.17%"
"01/10/2025","394.74","391.40","399.28","377.29","62.29M","-0.05%"
"01/08/2025","394.94","392.95","402.50","387.40","73.04M","0.15%"
"01/07/2025","394.36","405.83","414.33","390.00","75.70M","-4.06%"
"01/06/2025","411.05","423.20","426.43","401.70","85.52M","0.15%"
"01/03/2025","410.44","381.48","411.88","379.45","95.42M","8.22%"
"01/02/2025","379.28","390.10","392.73","373.04","109.71M","-6.08%"
"12/31/2024","403.84","423.79","427.93","402.54","76.83M","-3.25%"
"12/30/2024","417.41","419.40","427.00","415.75","64.94M","-3.30%"
"12/27/2024","431.66","449.52","450.00","426.50","82.67M","-4.95%"
"12/26/2024","454.13","465.16","465.33","451.02","76.65M","-1.76%"
"12/24/2024","462.28","435.90","462.78","435.14","59.55M","7.36%"
"12/23/2024","430.60","431.00","434.51","415.41","72.70M","2.27%"
"12/20/2024","421.06","425.51","447.08","417.64","132.22M","-3.46%"
"12/19/2024","436.17","451.88","456.36","420.02","118.57M","-0.90%"
"12/18/2024","440.13","466.49","488.54","427.01","149.34M","-8.28%"
"12/17/2024","479.86","475.90","483.99","457.51","131.22M","3.64%"
"12/16/2024","463.02","441.09","463.19","436.15","114.08M","6.14%"
"12/13/2024","436.23","420.00","436.30","415.71","89.00M","4.34%"
"12/12/2024","418.10","424.84","429.30","415.00","87.75M","-1.57%"
"12/11/2024","424.77","409.70","424.88","402.38","104.29M","5.93%"
"12/10/2024","400.99","392.68","409.73","390.85","97.56M","2.87%"
"12/09/2024","389.79","397.61","404.80","378.01","96.36M","0.15%"
"12/06/2024","389.22","377.42","389.49","370.80","81.46M","5.34%"
"12/05/2024","369.49","359.87","375.43","359.50","81.40M","3.23%"
"12/04/2024","357.93","353.00","358.10","348.60","50.81M","1.85%"
"12/03/2024","351.42","351.80","355.69","348.20","58.27M","-1.59%"
"12/02/2024","357.09","352.38","360.00","351.15","77.99M","3.46%"
